,id,mode,fluid,Pr_min,Pr_max,G_min,G_max,D_min,D_max,tube_type,mu_f_min,mu_f_max,mu_g_min,mu_g_max,K_f_min,K_f_max,K_g_min,K_g_max,Sur_ten_f_min,Sur_ten_f_max,Pr_f_min,Pr_f_max,Pr_g_min,Pr_g_max,rho_f_min,rho_f_max,rho_g_min,rho_g_max,deviation
30,14,1,R11,0.009,0.207,12.4,4792,6.5,25,1,525.0837501,189.9305934,9.318723737,12.96076051,94.18968263,64.94838852,7.401540476,12.41796425,21.11157347,8.228487615,4.787409677,2.925397291,0.724203905,0.790203478,1534.795755,1260.479764,2.449461466,47.95645585,0.213
31,14,1,R113,0.002,0.063,205.3,1246.5,15.77,15.77,1,1183.167598,388.7969851,8.967227969,11.75124981,81.02389191,62.45974689,6.253914322,10.84148392,21.84774736,12.04905271,12.90860566,6.025502131,0.864986783,0.790227223,1657.108674,1445.590943,0.596334641,15.00323054,0.213
32,14,1,R114,0.135,0.454,157,4757,19.94,19.94,1,259.9405153,145.0930658,12.39443972,16.05000373,56.96338093,44.7195487,12.11348821,16.48545092,8.241905289,3.04543941,4.723903438,3.95146734,0.78649368,0.983959094,1375.894627,1159.82653,31.73718354,114.510536,0.213
33,8,1,R407C,0.03,0.14,25,300,8.95,11.98,2,318.4866179,182.8660803,10.23978898,11.9633981,112.5426108,90.60458083,10.02056485,13.66820147,14.9973064,8.443093353,3.771431385,2.950384473,0.851447083,0.936493822,1343.742265,1193.321218,7.697697375,34.50841573,0.098
34,4,2,R22,0.307,0.307,400,800,8.52,8.94,2,138.7460602,138.7460602,13.35601831,13.35601831,76.62393378,76.62393378,12.88093641,12.88093641,6.040348033,6.040348033,2.423928788,2.423928788,1.031067925,1.031067925,1128.725593,1128.725593,66.11631453,66.11631453,0.08
35,4,2,R407C,0.332,0.332,400,800,8.52,8.94,2,120.2179911,120.2179911,13.76386003,13.76386003,75.13847691,75.13847691,18.33824389,18.33824389,4.083469812,4.083469812,2.720135166,2.720135166,1.087131108,1.087131108,1047.769165,1047.769165,87.49919331,87.49919331,0.08
36,4,2,R134a,0.25,0.25,400,800,8.52,8.94,2,161.5824952,161.5824952,12.36976013,12.36976013,74.74351537,74.74351537,15.43859267,15.43859267,6.123003392,6.123003392,3.23847631,3.23847631,0.916544981,0.916544981,1147.014909,1147.014909,49.9927661,49.9927661,0.08
37,10,1,R22,0.08,0.69,100,650,2.1,14.8,2,232.2121704,83.12461039,11.0860266,17.3307791,97.72145063,58.29191487,8.975965667,21.29718571,12.8068083,1.558255387,2.737516537,2.847468094,0.879541052,1.592017325,1303.639918,920.0033392,17.15414232,177.5743736,0.145
38,10,1,R410A,0.08,0.69,100,650,2.1,14.8,2,196.9544222,64.21060906,11.50271622,18.63491599,112.675181,70.29190013,10.92993976,35.56279984,11.47347303,0.659744276,2.536774509,3.207536288,1.063031611,2.382455768,1231.202779,795.0074325,17.78954083,216.0817256,0.15
39,10,1,R134a,0.08,0.69,100,650,2.1,14.8,2,256.8789522,84.93578446,10.83284015,16.28643656,90.73448557,55.8190181,11.7673128,25.07510286,11.02303565,1.356246516,3.819383631,3.332924115,0.838260302,1.436456169,1285.160634,905.0618248,15.94605563,169.9248332,0.16
