Manufacturer,Model,Refrigerant,Operating Condition,Displacement Volume,Capacity,Power,COP,Source,Minimum Voltage,Maximum Voltage,Frequency,Test Condition,Speed Type,Speed,Comments
GMCC,PA231G2C-4MUL,R410A,-,23.1,23065,1565,4.32,AC,220,240,50,GX,Fixed,2900,
GMCC,PA250G2CS-4MUL,R410A,-,25.1,24959,1695,4.32,AC,220,240,50,GX,Fixed,2900,
GMCC,PA270G2CS-4MUL1,R410A,-,27,26767,1805,4.35,AC,220,240,50,GX,Fixed,2900,
GMCC,PA280G2CS-4MUL,R410A,-,27.9,27859,1898,4.3,AC,220,240,50,GX,Fixed,2900,
GMCC,PA290G2CS-4MUL,R410A,-,28.7,28951,1975,4.3,AC,220,240,50,GX,Fixed,2900,
GMCC,ASG195V1VMU,R410A,-,19.6,19448,1310,4.35,AC,220,240,50,GX,Fixed,2900,
GMCC,ASG200V1VKU,R410A,-,20,19960,1345,4.35,AC,220,240,50,GX,Fixed,2900,
GMCC,ASG240V2VMU,R410A,-,23.8,23696,1595,4.35,AC,220,240,50,GX,Fixed,2900,
GMCC,ASG289V1VMU,R410A,-,28.9,28934,1950,4.35,AC,220,240,50,GX,Fixed,2900,
GMCC,ATG275V1VMP,R410A,-,27.4,27177,1895,4.2,AC,220,240,50,GX,Fixed,2900,
GMCC,ASQ330V1VMU,R410A,-,33,32363,2195,4.32,AC,220,240,50,GX,Fixed,2900,
GMCC,ASK40V11UAZ,R410A,-,4,3173,365,2.55,AC,220,240,50,ASH,Fixed,2900,
GMCC,ASN68V1UZZ1,R410A,-,6.8,5783,585,2.9,AC,220,240,50,ASH,Fixed,2900,
GMCC,ASN71V1UDD1,R410A,-,7.1,5920,582,2.98,AC,220,240,50,ASH,Fixed,2900,
GMCC,ASN76V1UDZ1,R410A,-,7.6,6449,630,3,AC,220,240,50,ASH,Fixed,2900,
GMCC,ASN82V1UDZ,R410A,-,8.2,6943,690,2.95,AC,220,240,50,ASH,Fixed,2900,
GMCC,ASN86V1UDZ,R410A,-,8.6,7302,725,2.95,AC,220,240,50,ASH,Fixed,2900,
GMCC,ASM99V2UDZ,R410A,-,9.8,8172,788,3.04,AC,220,240,50,ASH,Fixed,2900,
GMCC,PA170M2C-4ET2,R410A,-,17.1,14296,1385,3.03,AC,220,240,50,ASH,Fixed,2900,
GMCC,PA185M2C-4FT2,R410A,-,18.5,15337,1500,3,AC,220,240,50,ASH,Fixed,2900,
GMCC,PA200M2A-4ET2,R410A,-,20,17060,1695,2.95,AC,220,240,50,ASH,Fixed,2900,
GMCC,PA215M2AS-4KU,R410A,-,21.5,18271,1845,2.9,AC,220,240,50,ASH,Fixed,2900,
GMCC,PA225M2CS-4KU2,R410A,-,22.4,18766,1835,3,AC,220,240,50,ASH,Fixed,2900,
GMCC,PA240M2CS-4KU1,R410A,-,23.9,19926,1980,2.95,AC,220,240,50,ASH,Fixed,2900,
GMCC,ASF205V1UEUB,R410A,-,20.5,17606,1655,3.12,AC,220,240,50,ASH,Fixed,2900,
GMCC,PA260G2C-4FU,R410A,-,26,22178,2130,3.05,AC,220,240,50,ASH,Fixed,2900,
GMCC,PA270G2CS-4MU1,R410A,-,27,23287,2235,3.05,AC,220,240,50,ASH,Fixed,2900,
GMCC,PA290G2CS-4MU1,R410A,-,28.7,24891,2410,3.03,AC,220,240,50,ASH,Fixed,2900,
GMCC,ASG260V1VMU,R410A,-,26,22349,2100,3.12,AC,220,240,50,ASH,Fixed,2900,
GMCC,ASG290V1VMU,R410A,-,28.9,25078,2355,3.12,AC,220,240,50,ASH,Fixed,2900,
GMCC,ATG330V1UMP,R410A,-,32.7,28081,2815,2.92,AC,220,240,50,ASH,Fixed,2900,
GMCC,ATQ375V1UMU,R410A,-,37.7,32806,3255,3.05,AC,220,240,50,ASH,Fixed,2900,
GMCC,ATQ390V1UMT,R410A,-,38.9,33523,3190,3.08,AC,220,240,50,ASH,Fixed,2900,
GMCC,ASQ280Y1UMP,R410A,-,28,23645,2200,3.15,AC,380,380,50,ASH,Fixed,2900,
GMCC,ASQ330Y1UMP,R410A,-,33,27944,2645,3.1,AC,380,380,50,ASH,Fixed,2900,
GMCC,ATQ375Y1UMU,R410A,-,37.7,32141,3055,3.08,AC,380,380,50,ASH,Fixed,2900,
GMCC,ATQ480Y1UNT,R410A,-,48,41626,4225,3.1,AC,380,380,50,ASH,Fixed,2900,
GMCC,ATW480Y1UNM,R410A,-,48.1,41524,4025,3.02,AC,380,380,50,ASH,Fixed,2900,
GMCC,ATW510Y1UNYA,R410A,-,51,44492,4260,3.06,AC,380,380,50,ASH,Fixed,2900,
GMCC,ATW550Y1UNYA,R410A,-,55,48689,4620,3.08,AC,380,380,50,ASH,Fixed,2900,
GMCC,ATW590Y1UNK,R410A,-,59,52084,5090,3,AC,380,380,50,ASH,Fixed,2900,
GMCC,ATW630Y1UNM*,R410A,-,63.4,56179,5340,3.08,AC,380,380,50,ASH,Fixed,2900,
GMCC,ASK44E1VAJ,R410A,-,4.4,5050,378,3.92,AC,115,115,60,GX,Fixed,3500,
GMCC,ASK53E1VAZ,R410A,-,5.3,6227,465,3.92,AC,115,115,60,GX,Fixed,3500,
GMCC,ASN45E2VAJ3,R410A,-,4.5,5152,360,4.2,AC,115,115,60,GX,Fixed,3500,
GMCC,ASN52E2VAZ3,R410A,-,5.2,5954,420,4.15,AC,115,115,60,GX,Fixed,3500,
GMCC,ASN68E2VAZB1,R410A,-,6.8,7813,555,4.12,AC,115,115,60,GX,Fixed,3500,
GMCC,ASN71E1VBZ,R410A,-,7.1,8342,596,4.1,AC,115,115,60,GX,Fixed,3500,
GMCC,ASN76E11VDDA1,R410A,-,7.6,8718,635,4.02,AC,115,115,60,GX,Fixed,3500,
GMCC,ASN81E1VBZB1,R410A,-,8,9281,660,4.12,AC,115,115,60,GX,Fixed,3500,
GMCC,ASN83E1VBZ1,R410A,-,8.3,9707,690,4.12,AC,115,115,60,GX,Fixed,3500,
GMCC,ASN86E1VBZ,R410A,-,8.6,10202,730,4.1,AC,115,115,60,GX,Fixed,3500,
GMCC,ASN86E11UZDS1,R410A,-,8.6,8939,880,2.98,AC,115,115,60,GX,Fixed,3500,
GMCC,ASM100E11VEZ,R410A,-,9.9,11686,800,4.28,AC,115,115,60,GX,Fixed,3500,
GMCC,ASM103E12VEZ,R410A,-,10.3,12027,835,4.22,AC,115,115,60,GX,Fixed,3500,
GMCC,ASM106E2VEZ,R410A,-,10.6,12624,865,4.28,AC,115,115,60,GX,Fixed,3500,
GMCC,ASM113E1UDZ,R410A,-,11.3,11396,1095,3.05,AC,115,115,60,GX,Fixed,3500,
GMCC,ASM113E3UFZK,R410A,-,11.3,11771,1105,3.12,AC,115,115,60,GX,Fixed,3500,
GMCC,ASM113E3UBZK,R410A,-,11.3,11652,1100,3.1,AC,115,115,60,GX,Fixed,3500,
GMCC,ASM127E1VET,R410A,-,12.7,15303,1048,4.28,AC,115,115,60,GX,Fixed,3500,
GMCC,ASM130E1VET,R410A,-,13,15473,1075,4.22,AC,115,115,60,GX,Fixed,3500,
GMCC,ASN86F1VBZ1 ,R410A,-,8.6,10185,762,3.92,AC,127,127,60,GX,Fixed,3500,
GMCC,ASM113F1UDRC,R410A,-,11.3,11669,1120,3.05,AC,127,127,60,ASH,Fixed,3500,
GMCC,HSM130N12UEZ,R22,-,13,9383,846,3.25,AC,208,230,60,ASH,Fixed,3500,
GMCC,HSM165N11UEZ,R22,-,16.5,11942,1060,3.3,AC,208,230,60,ASH,Fixed,3500,
GMCC,HSM170N2UFZ,R22,-,16.9,12078,1115,3.17,AC,208,230,60,ASH,Fixed,3500,
GMCC,PH210M2A-3FT,R22,-,20.9,15729,1365,3.38,AC,208,230,60,ASH,Fixed,3500,
GMCC,PH250M2A-3FTU2,R22,-,24.8,18032,1625,3.25,AC,208,230,60,ASH,Fixed,3500,
GMCC,PH260M2AS-3KUU1,R22,-,26.1,19193,1815,3.1,AC,208,230,60,ASH,Fixed,3500,
GMCC,HSG290N1UKU,R22,-,29,21461,1825,3.45,AC,208,230,60,ASH,Fixed,3500,
GMCC,HSG300N1UKU,R22,-,29.8,22059,1875,3.45,AC,208,230,60,ASH,Fixed,3500,
GMCC,HSG310N1UKU,R22,-,30.9,23133,1965,3.45,AC,208,230,60,ASH,Fixed,3500,
GMCC,HSG330N1UMU,R22,-,33.1,24771,2105,3.45,AC,208,230,60,ASH,Fixed,3500,
GMCC,HSG340N1UMU,R22,-,34.1,25419,2160,3.45,AC,208,230,60,ASH,Fixed,3500,
GMCC,HSG360N1UKU,R22,-,35.9,26579,2280,3.42,AC,208,230,60,ASH,Fixed,3500,
GMCC,HSG370N1UMU,R22,-,37,27637,2370,3.42,AC,208,230,60,ASH,Fixed,3500,
GMCC,HSN102N1VDZ,R22,-,10.2,8240,575,4.2,AC,208,230,60,GX,Fixed,3500,
GMCC,HSM145N2VDT,R22,-,14.6,11874,830,4.19,AC,208,230,60,GX,Fixed,3500,
GMCC,HSN82V11UDZ1,R22,-,8.2,4913,488,2.95,AC,220,240,50,ASH,Fixed,2900,
